/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([100])) that is different to the input size (torch.Size([100, 1, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
{'epoch': 3, 'batch': 210, 'loss': 0.03340190276503563}
{'epoch': 3, 'batch': 240, 'loss': 0.05477983504533768}
{'epoch': 3, 'batch': 270, 'loss': 0.023379040881991386}
{'epoch': 3, 'batch': 300, 'loss': 0.03095182403922081}
{'epoch': 3, 'batch': 330, 'loss': 0.012876501306891441}
{'epoch': 3, 'batch': 360, 'loss': 0.15045882761478424}
{'epoch': 3, 'batch': 390, 'loss': 0.1483287513256073}
{'epoch': 3, 'batch': 420, 'loss': 0.6743460893630981}
{'epoch': 3, 'batch': 450, 'loss': 0.041874561458826065}
{'epoch': 3, 'batch': 480, 'loss': 0.03736088424921036}
{'epoch': 3, 'batch': 510, 'loss': 0.03969123959541321}
{'epoch': 3, 'batch': 540, 'loss': 0.29999852180480957}
{'epoch': 3, 'batch': 570, 'loss': 0.3475281894207001}
{'epoch': 3, 'batch': 600, 'loss': 0.04528944566845894}
{'TEST!': 3, 'batch': 0, 'loss': 0.07175126671791077}
{'TEST!': 3, 'batch': 30, 'loss': 0.06361842155456543}
{'TEST!': 3, 'batch': 60, 'loss': 0.0405878983438015}
{'TEST!': 3, 'batch': 90, 'loss': 0.1048150360584259}
{'TEST!': 3, 'batch': 120, 'loss': 0.07661635428667068}
{'TEST!': 3, 'batch': 150, 'loss': 0.03171054646372795}
{'TEST!': 3, 'batch': 180, 'loss': 0.02583325281739235}
{'epoch': 4, 'batch': 0, 'loss': 0.1015409305691719}
{'epoch': 4, 'batch': 30, 'loss': 0.0230008102953434}
{'epoch': 4, 'batch': 60, 'loss': 0.0350666381418705}
{'epoch': 4, 'batch': 90, 'loss': 0.09910571575164795}
{'epoch': 4, 'batch': 120, 'loss': 0.051812153309583664}
{'epoch': 4, 'batch': 150, 'loss': 0.08245321363210678}
{'epoch': 4, 'batch': 180, 'loss': 0.6417427659034729}
{'epoch': 4, 'batch': 210, 'loss': 0.03432196378707886}
{'epoch': 4, 'batch': 240, 'loss': 0.13166825473308563}
{'epoch': 4, 'batch': 270, 'loss': 0.06005312502384186}
{'epoch': 4, 'batch': 300, 'loss': 0.17792710661888123}
